"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Superfície Residencial (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
2017,1,"Ciutat Vella",1,"el Raval",47608,"109.8","49.7","433","959"
2017,1,"Ciutat Vella",2,"el Barri Gòtic",16062,"84.2","34.1","191","471"
2017,1,"Ciutat Vella",3,"la Barceloneta",14996,"131.4","13.5","114","1107"
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22721,"111.4","32.5","204","700"
2017,2,"Eixample",5,"el Fort Pienc",32016,"92.9","33.4","345","959"
2017,2,"Eixample",6,"la Sagrada Família",51539,"105.1","51.2","490","1006"
2017,2,"Eixample",7,"la Dreta de l'Eixample",44052,"212.3","113.9","207","387"
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",42284,"123.4","67.0","343","631"
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample",58180,"133.8","65.3","435","891"
2017,2,"Eixample",10,"Sant Antoni",38345,"80.1","41.3","479","928"
2017,3,"Sants-Montjuïc",11,"el Poble Sec",40228,"460.5","38.6","87","1043"
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1149,"1428.4","35.9","1","32"
2017,3,"Sants-Montjuïc",13,"la Marina de Port",30584,"125.5","39.4","244","777"
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10401,"30.2","11.4","344","912"
2017,3,"Sants-Montjuïc",15,"Hostafrancs",15904,"41.0","22.4","388","710"
2017,3,"Sants-Montjuïc",16,"la Bordeta",18530,"57.7","20.8","321","891"
2017,3,"Sants-Montjuïc",17,"Sants - Badal",23987,"41.1","25.1","584","955"
2017,3,"Sants-Montjuïc",18,"Sants",41127,"109.8","55.6","375","740"
2017,4,"Les Corts",19,"les Corts",46009,"141.3","65.3","326","705"
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon",23948,"190.3","32.6","126","734"
2017,4,"Les Corts",21,"Pedralbes",12076,"270.2","82.3","45","147"
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4670,"1152.2","89.5","4","52"
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià",25032,"304.2","96.2","82","260"
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16667,"78.8","42.6","211","391"
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25774,"223.5","82.1","115","314"
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",47666,"165.9","95.5","287","499"
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29470,"84.6","53.1","348","555"
2017,6,"Gràcia",28,"Vallcarca i els Penitents",15759,"120.9","47.0","130","335"
2017,6,"Gràcia",29,"el Coll",7412,"35.8","12.4","207","598"
2017,6,"Gràcia",30,"la Salut",13185,"64.3","19.4","205","680"
2017,6,"Gràcia",31,"la Vila de Gràcia",50662,"132.6","83.5","382","607"
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34329,"65.0","38.5","529","891"
2017,7,"Horta-Guinardó",33,"el Baix Guinardó",25672,"56.0","23.7","459","1082"
2017,7,"Horta-Guinardó",34,"Can Baró",8994,"38.4","14.3","234","627"
2017,7,"Horta-Guinardó",35,"el Guinardó",36467,"130.8","52.1","279","699"
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues",9383,"65.7","39.4","143","238"
2017,7,"Horta-Guinardó",37,"el Carmel",31551,"94.2","39.4","335","802"
2017,7,"Horta-Guinardó",38,"la Teixonera",11619,"33.7","18.4","345","630"
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6854,"171.6","18.1","40","379"
2017,7,"Horta-Guinardó",40,"Montbau",5102,"204.7","11.4","25","448"
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron",5784,"73.6","8.0","79","724"
2017,7,"Horta-Guinardó",42,"la Clota",610,"17.8","6.1","34","100"
2017,7,"Horta-Guinardó",43,"Horta",26715,"308.2","63.4","87","422"
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25591,"56.7","29.4","451","870"
2017,8,"Nou Barris",45,"Porta",25000,"84.1","35.2","297","710"
2017,8,"Nou Barris",46,"el Turó de la Peira",15467,"35.4","13.4","437","1152"
2017,8,"Nou Barris",47,"Can Peguera",2271,"12.0","6.1","190","375"
2017,8,"Nou Barris",48,"la Guineueta",15231,"61.1","22.0","249","691"
2017,8,"Nou Barris",49,"Canyelles",6856,"79.3","11.1","87","618"
2017,8,"Nou Barris",50,"les Roquetes",15590,"64.2","18.2","243","856"
2017,8,"Nou Barris",51,"Verdun",12353,"23.7","14.3","520","867"
2017,8,"Nou Barris",52,"la Prosperitat",26389,"59.5","27.3","444","965"
2017,8,"Nou Barris",53,"la Trinitat Nova",7261,"56.0","12.6","130","578"
2017,8,"Nou Barris",54,"Torre Baró",2856,"176.8","21.2","16","135"
2017,8,"Nou Barris",55,"Ciutat Meridiana",10342,"35.5","15.1","291","683"
2017,8,"Nou Barris",56,"Vallbona",1372,"59.8","6.8","23","203"
2017,9,"Sant Andreu",57,"la Trinitat Vella",9983,"81.0","12.7","123","786"
2017,9,"Sant Andreu",58,"Baró de Viver",2539,"23.0","3.9","110","649"
2017,9,"Sant Andreu",59,"el Bon Pastor",12560,"188.2","17.9","67","702"
2017,9,"Sant Andreu",60,"Sant Andreu",57183,"184.1","76.6","311","746"
2017,9,"Sant Andreu",61,"la Sagrera",29084,"97.2","39.5","299","736"
2017,9,"Sant Andreu",62,"el Congrés i els Indians",14116,"40.7","19.1","347","737"
2017,9,"Sant Andreu",63,"Navas",22129,"42.3","22.5","523","984"
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38168,"74.2","43.0","515","888"
2017,10,"Sant Martí",65,"el Clot",27039,"69.6","23.6","389","1145"
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",15134,"111.4","20.0","136","758"
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9367,"94.3","24.2","99","387"
2017,10,"Sant Martí",68,"el Poblenou",33843,"154.5","42.6","219","795"
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13629,"123.7","23.0","110","592"
2017,10,"Sant Martí",70,"el Besòs i el Maresme",23009,"127.4","26.0","181","885"
2017,10,"Sant Martí",71,"Provençals del Poblenou",20487,"110.5","13.8","185","1490"
2017,10,"Sant Martí",72,"Sant Martí de Provençals",26146,"74.5","23.4","351","1116"
2017,10,"Sant Martí",73,"la Verneda i la Pau",28691,"112.3","40.1","256","716"
